Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Restaurant ID,Restaurant Name,Country Code,Country,City.1,Address,Locality,Locality Verbose,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes
VADRES20DEL01,20,4.9,22.311358,73.164798,22.421358,73.274798,"Friday, March 25, 2022",5:25:00 PM,5:35:00 PM,Fog,Medium,0,Meal,motorcycle,1,No,Metropolitian,42,3200034,Tomato's,1,India,Vadodara,"1st Floor, Aditi Plaza, Beside IDBI Bank, Race Course Road,  ., Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara","North Indian, Mughlai, Mexican, Thai",1000,Indian Rupees(Rs.),No,No,No,3,4.1,Green,Very Good,395
VADRES20DEL02,31,4.9,22.311358,73.164798,22.331358,73.184798,"Saturday, September 3, 2022",10:15:00 AM,10:25:00 AM,Fog,Low,0,Drinks,motorcycle,0,No,Metropolitian,24,3200034,Tomato's,1,India,Vadodara,"1st Floor, Aditi Plaza, Beside IDBI Bank, Race Course Road,  ., Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara","North Indian, Mughlai, Mexican, Thai",1000,Indian Rupees(Rs.),No,No,No,3,4.1,Green,Very Good,395
VADRES20DEL01,30,4.4,22.311358,73.164798,22.321358,73.174798,"Sunday, March 13, 2022",8:35:00 AM,8:40:00 AM,Stormy,Low,0,Drinks,motorcycle,0,No,Metropolitian,28,3200034,Tomato's,1,India,Vadodara,"1st Floor, Aditi Plaza, Beside IDBI Bank, Race Course Road,  ., Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara","North Indian, Mughlai, Mexican, Thai",1000,Indian Rupees(Rs.),No,No,No,3,4.1,Green,Very Good,395
VADRES20DEL01,28,4,22.311358,73.164798,22.421358,73.274798,"Monday, October 3, 2022",6:15:00 PM,6:25:00 PM,Sandstorms,Medium,0,Snack,motorcycle,1,No,Metropolitian,32,3200034,Tomato's,1,India,Vadodara,"1st Floor, Aditi Plaza, Beside IDBI Bank, Race Course Road,  ., Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara","North Indian, Mughlai, Mexican, Thai",1000,Indian Rupees(Rs.),No,No,No,3,4.1,Green,Very Good,395
VADRES20DEL01,36,4.5,22.311358,73.164798,22.381358,73.234798,"Monday, April 4, 2022",6:45:00 PM,6:55:00 PM,Fog,Medium,0,Meal,motorcycle,1,No,Metropolitian,38,3200034,Tomato's,1,India,Vadodara,"1st Floor, Aditi Plaza, Beside IDBI Bank, Race Course Road,  ., Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara","North Indian, Mughlai, Mexican, Thai",1000,Indian Rupees(Rs.),No,No,No,3,4.1,Green,Very Good,395
VADRES20DEL01,31,4,22.311358,73.164798,22.421358,73.274798,"Friday, February 4, 2022",7:20:00 PM,7:35:00 PM,Stormy,Jam,0,Drinks,motorcycle,1,No,Metropolitian,47,3200034,Tomato's,1,India,Vadodara,"1st Floor, Aditi Plaza, Beside IDBI Bank, Race Course Road,  ., Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara","North Indian, Mughlai, Mexican, Thai",1000,Indian Rupees(Rs.),No,No,No,3,4.1,Green,Very Good,395
VADRES06DEL01,33,4.6,22.31279,73.170283,22.38279,73.240283,"Monday, October 3, 2022",5:10:00 PM,5:25:00 PM,Fog,Medium,0,Meal,motorcycle,1,No,Metropolitian,49,3200005,Little Italy,1,India,Vadodara,"36, Alkapuri Society, Behind HDFC Bank, Alkapuri, Vadodara",Alkapuri,"Alkapuri, Vadodara",Italian,1000,Indian Rupees(Rs.),No,No,No,3,4.1,Green,Very Good,202
VADRES06DEL03,37,4.7,22.31279,73.170283,22.37279,73.230283,"Thursday, November 3, 2022",9:10:00 PM,9:20:00 PM,Cloudy,Jam,0,Meal,motorcycle,0,No,Metropolitian,25,3200005,Little Italy,1,India,Vadodara,"36, Alkapuri Society, Behind HDFC Bank, Alkapuri, Vadodara",Alkapuri,"Alkapuri, Vadodara",Italian,1000,Indian Rupees(Rs.),No,No,No,3,4.1,Green,Very Good,202
VADRES06DEL01,39,4,22.31279,73.170283,22.32279,73.180283,"Friday, March 4, 2022",8:20:00 AM,8:25:00 AM,Sandstorms,Low,0,Snack,motorcycle,0,No,Metropolitian,31,3200005,Little Italy,1,India,Vadodara,"36, Alkapuri Society, Behind HDFC Bank, Alkapuri, Vadodara",Alkapuri,"Alkapuri, Vadodara",Italian,1000,Indian Rupees(Rs.),No,No,No,3,4.1,Green,Very Good,202
VADRES06DEL03,25,4.9,22.31279,73.170283,22.37279,73.230283,"Sunday, July 3, 2022",6:15:00 PM,6:30:00 PM,Sunny,Medium,0,Buffet,motorcycle,0,No,Metropolitian,20,3200005,Little Italy,1,India,Vadodara,"36, Alkapuri Society, Behind HDFC Bank, Alkapuri, Vadodara",Alkapuri,"Alkapuri, Vadodara",Italian,1000,Indian Rupees(Rs.),No,No,No,3,4.1,Green,Very Good,202
